text,Label,remove_user,remove_http,tweet_clean,Tweet
 @muhsinlabib Saya pengen tahu latar belakang adakah konflik internal faksi2 di Palestina,0,  Saya pengen tahu latar belakang adakah konflik internal faksi2 di Palestina,  Saya pengen tahu latar belakang adakah konflik internal faksi di Palestina,"['saya', 'ken', 'tahu', 'latar', 'belakang', 'ada', 'konflik', 'internal', 'faksi', '2', 'di', 'palestina']",ken latar ada konflik internal faksi palestina
 Tolong negara negara arab atau lainnya harus menegakkan kebebasan dan hak asasi manusia di palestina jangan cuma banyak bacot doang untuk mengurusi negara yg banyak sda nya contoh negara a_m_r_k_ dan tol,2, Tolong negara negara arab atau lainnya harus menegakkan kebebasan dan hak asasi manusia di palestina jangan cuma banyak bacot doang untuk mengurusi negara yg banyak sda nya contoh negara a_m_r_k_ dan tol, Tolong negara negara arab atau lainnya harus menegakkan kebebasan dan hak asasi manusia di palestina jangan cuma banyak bacot doang untuk mengurusi negara yg banyak sda nya contoh negara a_m_r_k_ dan tol,"['tolong', 'negara', 'negara', 'arab', 'atau', 'lain', 'harus', 'tegak', 'bebas', 'dan', 'hak', 'asasi', 'manusia', 'di', 'palestina', 'jangan', 'cuma', 'banyak', 'bacot', 'doang', 'untuk', 'urus', 'negara', 'yg', 'banyak', 'sda', 'nya', 'contoh', 'negara', 'a m r k', 'dan', 'tol']",tolong negara negara arab tegak bebas hak asasi manusia palestina bacot doang urus negara yg sda nya contoh negara a m r k tol
 Apa kalian yang teriak toleransi tau bagaimana islam menjaga kebebasan agama lain beragama?   Ingat kisah Amirul mukminin Umar ibn Khatab? Membebaskan Jarusalem (Palestina),0, Apa kalian yang teriak toleransi tau bagaimana islam menjaga kebebasan agama lain beragama?   Ingat kisah Amirul mukminin Umar ibn Khatab? Membebaskan Jarusalem (Palestina), Apa kalian yang teriak toleransi tau bagaimana islam menjaga kebebasan agama lain beragama?   Ingat kisah Amirul mukminin Umar ibn Khatab? Membebaskan Jarusalem (Palestina),"['apa', 'kalian', 'yang', 'teriak', 'toleransi', 'tau', 'bagaimana', 'islam', 'jaga', 'bebas', 'agama', 'lain', 'agama', 'ingat', 'kisah', 'amirul', 'mukminin', 'umar', 'ibn', 'khatab', 'bebas', 'jarusalem', 'palestina']",teriak toleransi tau islam jaga bebas agama agama kisah amirul mukminin umar ibn khatab bebas jarusalem palestina
 @Sk8rwannabe indeed. konflik israel-palestina memang complex,0,  indeed. konflik israel-palestina memang complex,  indeed. konflik israel-palestina memang complex,"['indeed', 'konflik', 'israel-palestina', 'memang', 'complex']",indeed konflik israel-palestina complex
 Semoga Allah menolong saudara kita di Palestina. Aamiin YRA .....Alfatehah,0, Semoga Allah menolong saudara kita di Palestina. Aamiin YRA .....Alfatehah, Semoga Allah menolong saudara kita di Palestina. Aamiin YRA .....Alfatehah,"['moga', 'allah', 'tolong', 'saudara', 'kita', 'di', 'palestina', 'aamiin', 'yra', '', 'alfatehah']",moga allah tolong saudara palestina aamiin yra alfatehah
" Penjajahan Palestina terjadi setelah runtuhnya Khilafah. Bahkan setelah berdirinya ""puluhan"" negara Arab mereka gak mampu membebaskan al aqso....masih enggak ada rasa rindu khilafah islamiah...",0," Penjajahan Palestina terjadi setelah runtuhnya Khilafah. Bahkan setelah berdirinya ""puluhan"" negara Arab mereka gak mampu membebaskan al aqso....masih enggak ada rasa rindu khilafah islamiah..."," Penjajahan Palestina terjadi setelah runtuhnya Khilafah. Bahkan setelah berdirinya ""puluhan"" negara Arab mereka gak mampu membebaskan al aqso....masih enggak ada rasa rindu khilafah islamiah...","['jajah', 'palestina', 'jadi', 'telah', 'runtuh', 'khilafah', 'bahkan', 'telah', 'diri', 'puluh', 'negara', 'arab', 'mereka', 'gak', 'mampu', 'bebas', 'al', 'aqso', '', 'masih', 'enggak', 'rasa', 'rindu', 'khilafah', 'islamiah', '']",jajah palestina runtuh khilafah diri puluh negara arab gak bebas al aqso rindu khilafah islamiah
 Kebanyakan korban terluka karena ditembak peluru karet dan pecahan dari granat kejut,0, Kebanyakan korban terluka karena ditembak peluru karet dan pecahan dari granat kejut, Kebanyakan korban terluka karena ditembak peluru karet dan pecahan dari granat kejut,"['banyak', 'korban', 'luka', 'karena', 'tembak', 'peluru', 'karet', 'dan', 'pecah', 'dari', 'granat', 'kejut']",banyak korban luka tembak peluru karet pecah granat kejut
 @fadlizon @tribunnews Saya setuju pak utk urusin palestina saja... Jadi duta palestina saja pak dan tinggallah disana barang 25tahun,2,   Saya setuju pak utk urusin palestina saja... Jadi duta palestina saja pak dan tinggallah disana barang 25tahun,   Saya setuju pak utk urusin palestina saja... Jadi duta palestina saja pak dan tinggallah disana barang tahun,"['saya', 'tuju', 'pak', 'utk', 'urusin', 'palestina', 'saja', '', 'jadi', 'duta', 'palestina', 'saja', 'pak', 'dan', 'tinggal', 'sana', 'barang', '25tahun']",tuju utk urusin palestina duta palestina tinggal sana barang
 gw lagi mikir dalam perspektif netral dan ya.. ga israel ga palestina penembakan sipil juga terjadi.  hampir disetiap perang juga ka,0, gw lagi mikir dalam perspektif netral dan ya.. ga israel ga palestina penembakan sipil juga terjadi.  hampir disetiap perang juga ka, gw lagi mikir dalam perspektif netral dan ya.. ga israel ga palestina penembakan sipil juga terjadi.  hampir disetiap perang juga ka,"['gw', 'lagi', 'mikir', 'dalam', 'perspektif', 'netral', 'dan', 'ya', '', 'ga', 'israel', 'ga', 'palestina', 'tembak', 'sipil', 'juga', 'jadi', 'hampir', 'tiap', 'perang', 'juga', 'ka']",gw mikir perspektif netral ya ga israel ga palestina tembak sipil tiap perang ka
 Konflik israel palestina itu gk ada hubungannya dengan agama...di israel ada org islam yg jadi tentara israel...di palestina ada warga yg yahudi ortodoks n nasrani...tapi kenapa kyknya tiap ramadhan sela,0, Konflik israel palestina itu gk ada hubungannya dengan agama...di israel ada org islam yg jadi tentara israel...di palestina ada warga yg yahudi ortodoks n nasrani...tapi kenapa kyknya tiap ramadhan sela, Konflik israel palestina itu gk ada hubungannya dengan agama...di israel ada org islam yg jadi tentara israel...di palestina ada warga yg yahudi ortodoks n nasrani...tapi kenapa kyknya tiap ramadhan sela,"['konflik', 'israel', 'palestina', 'itu', 'gk', 'hubung', 'dengan', 'agama', '', 'di', 'israel', 'org', 'islam', 'yg', 'jadi', 'tentara', 'israel', '', 'di', 'palestina', 'warga', 'yg', 'yahudi', 'ortodoks', 'n', 'nasrani', '', 'tapi', 'kenapa', 'kyknya', 'tiap', 'ramadhan', 'sela']",konflik israel palestina gk hubung agama israel org islam yg tentara israel palestina warga yg yahudi ortodoks n nasrani kyknya ramadhan
konflik israel dan palestina sudah tertulis di al quran..,1,konflik israel dan palestina sudah tertulis di al quran..,konflik israel dan palestina sudah tertulis di al quran..,"['konflik', 'israel', 'dan', 'palestina', 'sudah', 'tulis', 'di', 'al', 'quran', '']",konflik israel palestina tulis al quran
jangan pelihara konflik dan penderitaan warga palestina dengan bilang itu semua sudah takdir mereka untuk dijajah israel #FreePalestine,2,jangan pelihara konflik dan penderitaan warga palestina dengan bilang itu semua sudah takdir mereka untuk dijajah israel #FreePalestine,jangan pelihara konflik dan penderitaan warga palestina dengan bilang itu semua sudah takdir mereka untuk dijajah israel FreePalestine,"['jangan', 'pelihara', 'konflik', 'dan', 'derita', 'warga', 'palestina', 'dengan', 'bilang', 'itu', 'semua', 'sudah', 'takdir', 'mereka', 'untuk', 'jajah', 'israel', 'freepalestine']",pelihara konflik derita warga palestina bilang takdir jajah israel freepalestine
respon begitu punya beberapa masalah: 1. membiaskan akar permasalahan konflik Palestina-Israel 2. mengkerdilkan casus belli dari konflik jadi sebatas agama 3. membatasi diskusi ttg penyelesaian k,0,respon begitu punya beberapa masalah: 1. membiaskan akar permasalahan konflik Palestina-Israel 2. mengkerdilkan casus belli dari konflik jadi sebatas agama 3. membatasi diskusi ttg penyelesaian k,respon begitu punya beberapa masalah: . membiaskan akar permasalahan konflik Palestina-Israel . mengkerdilkan casus belli dari konflik jadi sebatas agama . membatasi diskusi ttg penyelesaian k,"['respon', 'begitu', 'punya', 'beberapa', 'masalah', '1', 'bias', 'akar', 'masalah', 'konflik', 'palestina-israel', '2', 'kerdil', 'casus', 'belli', 'dari', 'konflik', 'jadi', 'batas', 'agama', '3', 'batas', 'diskusi', 'ttg', 'selesai', 'k']",respon bias akar masalah konflik palestina-israel kerdil casus belli konflik batas agama batas diskusi ttg selesai k
 jangan pelihara konflik dan penderitaan warga palestina dengan bilang itu semua sudah takdir mereka untuk dijajah israel #FreePalestine,2, jangan pelihara konflik dan penderitaan warga palestina dengan bilang itu semua sudah takdir mereka untuk dijajah israel #FreePalestine, jangan pelihara konflik dan penderitaan warga palestina dengan bilang itu semua sudah takdir mereka untuk dijajah israel FreePalestine,"['jangan', 'pelihara', 'konflik', 'dan', 'derita', 'warga', 'palestina', 'dengan', 'bilang', 'itu', 'semua', 'sudah', 'takdir', 'mereka', 'untuk', 'jajah', 'israel', 'freepalestine']",pelihara konflik derita warga palestina bilang takdir jajah israel freepalestine
Konflik israel -palestina tidak bisa di diamkan begitu saja  https://t.co/4DqiA1DGSP  AS dan Uni Eropa sama-sama menyerukan agar Israel dan Palestina meredakan ketegangan setelah terjadi bentrokan te,0,Konflik israel -palestina tidak bisa di diamkan begitu saja  https://t.co/4DqiA1DGSP  AS dan Uni Eropa sama-sama menyerukan agar Israel dan Palestina meredakan ketegangan setelah terjadi bentrokan te,Konflik israel -palestina tidak bisa di diamkan begitu saja  https://t.co/DqiADGSP  AS dan Uni Eropa sama-sama menyerukan agar Israel dan Palestina meredakan ketegangan setelah terjadi bentrokan te,"['konflik', 'israel', 'palestina', 'tidak', 'bisa', 'di', 'diam', 'begitu', 'saja', 'as', 'dan', 'uni', 'eropa', 'sama', 'seru', 'agar', 'israel', 'dan', 'palestina', 'reda', 'tegang', 'telah', 'jadi', 'bentrok', 'te']",konflik israel palestina diam
Dari zamannya Bung Karno gak ada perubahannya tuh palestina.... Kenapa yaa bisa gitu?  Ada konflik apa di sana? ,2,Dari zamannya Bung Karno gak ada perubahannya tuh palestina.... Kenapa yaa bisa gitu?  Ada konflik apa di sana? ,Dari zamannya Bung Karno gak ada perubahannya tuh palestina.... Kenapa yaa bisa gitu?  Ada konflik apa di sana? ,"['dari', 'zaman', 'bung', 'karno', 'gak', 'ubah', 'tuh', 'palestina', '', 'kenapa', 'yaa', 'bisa', 'gitu', 'konflik', 'apa', 'di', 'sana']",zaman karno gak ubah tuh palestina yaa gitu konflik
Konflik Palestina itu murni bisnis yg sudah ada sejak puluhan tahun lalu. Hanya orang2 yg kurang literasi yg mengkuatirkan mereka.,2,Konflik Palestina itu murni bisnis yg sudah ada sejak puluhan tahun lalu. Hanya orang2 yg kurang literasi yg mengkuatirkan mereka.,Konflik Palestina itu murni bisnis yg sudah ada sejak puluhan tahun lalu. Hanya orang yg kurang literasi yg mengkuatirkan mereka.,"['konflik', 'palestina', 'itu', 'murni', 'bisnis', 'yg', 'sudah', 'sejak', 'puluh', 'tahun', 'lalu', 'hanya', 'orang', '2', 'yg', 'kurang', 'literasi', 'yg', 'mengkuatirkan', 'mereka']",konflik palestina murni bisnis yg puluh orang yg literasi yg mengkuatirkan
Di Israel pun banyak kok warganya yang mengecam praktik kolonialisme ini. Peran media berpuluh-puluh tahun menggeser makna konflik Israel-Palestina menjadi perang agama.,2,Di Israel pun banyak kok warganya yang mengecam praktik kolonialisme ini. Peran media berpuluh-puluh tahun menggeser makna konflik Israel-Palestina menjadi perang agama.,Di Israel pun banyak kok warganya yang mengecam praktik kolonialisme ini. Peran media berpuluh-puluh tahun menggeser makna konflik Israel-Palestina menjadi perang agama.,"['di', 'israel', 'pun', 'banyak', 'kok', 'warga', 'yang', 'kecam', 'praktik', 'kolonialisme', 'ini', 'peran', 'media', 'puluh', 'tahun', 'geser', 'makna', 'konflik', 'israel-palestina', 'jadi', 'perang', 'agama']",israel warga kecam praktik kolonialisme peran media puluh geser makna konflik israel-palestina perang agama
Konflik Palestina dan Israel saat ini bentuk dr keinginan militer Israel yg ingin okupasi wilayah sekitar Al-Aqsa.   Kesimpulannya,1,Konflik Palestina dan Israel saat ini bentuk dr keinginan militer Israel yg ingin okupasi wilayah sekitar Al-Aqsa.   Kesimpulannya,Konflik Palestina dan Israel saat ini bentuk dr keinginan militer Israel yg ingin okupasi wilayah sekitar Al-Aqsa.   Kesimpulannya,"['konflik', 'palestina', 'dan', 'israel', 'saat', 'ini', 'bentuk', 'dr', 'ingin', 'militer', 'israel', 'yg', 'ingin', 'okupasi', 'wilayah', 'sekitar', 'al-aqsa', 'simpul']",konflik palestina israel bentuk dr militer israel yg okupasi wilayah al-aqsa simpul
 Di Israel pun banyak kok warganya yang mengecam praktik kolonialisme ini. Peran media berpuluh-puluh tahun menggeser makna konflik Israel-Palestina menjadi perang agama.,2, Di Israel pun banyak kok warganya yang mengecam praktik kolonialisme ini. Peran media berpuluh-puluh tahun menggeser makna konflik Israel-Palestina menjadi perang agama., Di Israel pun banyak kok warganya yang mengecam praktik kolonialisme ini. Peran media berpuluh-puluh tahun menggeser makna konflik Israel-Palestina menjadi perang agama.,"['di', 'israel', 'pun', 'banyak', 'kok', 'warga', 'yang', 'kecam', 'praktik', 'kolonialisme', 'ini', 'peran', 'media', 'puluh', 'tahun', 'geser', 'makna', 'konflik', 'israel-palestina', 'jadi', 'perang', 'agama']",israel warga kecam praktik kolonialisme peran media puluh geser makna konflik israel-palestina perang agama
 Konflik Palestina dan Israel saat ini bentuk dr keinginan militer Israel yg ingin okupasi wilayah sekitar Al-Aqsa.   Kesimpulannya,0, Konflik Palestina dan Israel saat ini bentuk dr keinginan militer Israel yg ingin okupasi wilayah sekitar Al-Aqsa.   Kesimpulannya, Konflik Palestina dan Israel saat ini bentuk dr keinginan militer Israel yg ingin okupasi wilayah sekitar Al-Aqsa.   Kesimpulannya,"['konflik', 'palestina', 'dan', 'israel', 'saat', 'ini', 'bentuk', 'dr', 'ingin', 'militer', 'israel', 'yg', 'ingin', 'okupasi', 'wilayah', 'sekitar', 'al-aqsa', 'simpul']",konflik palestina israel bentuk dr militer israel yg okupasi wilayah al-aqsa simpul
Kenapa sih Israel nyerang Palestina disaat hari besar Islam atau ketika ibadah Sholat Jum'at atau kejadian kemarin saat sholat Tarawih? Konflik karena agama kah? Atau konflik karena wilayah kah? A,0,Kenapa sih Israel nyerang Palestina disaat hari besar Islam atau ketika ibadah Sholat Jum'at atau kejadian kemarin saat sholat Tarawih? Konflik karena agama kah? Atau konflik karena wilayah kah? A,Kenapa sih Israel nyerang Palestina disaat hari besar Islam atau ketika ibadah Sholat Jum'at atau kejadian kemarin saat sholat Tarawih? Konflik karena agama kah? Atau konflik karena wilayah kah? A,"['kenapa', 'sih', 'israel', 'nyerang', 'palestina', 'saat', 'hari', 'besar', 'islam', 'atau', 'ketika', 'ibadah', 'sholat', 'jum at', 'atau', 'jadi', 'kemarin', 'saat', 'sholat', 'tarawih', 'konflik', 'karena', 'agama', 'kah', 'atau', 'konflik', 'karena', 'wilayah', 'kah', 'a']",sih israel nyerang palestina saat islam ibadah sholat jum at jadi kemarin sholat tarawih konflik agama kah konflik wilayah kah a
Konflik Israel vs Palestina itu kompleks. Sampai sekarang masih belum ada penyelesaiian.   https://t.co/lC5sU1M5pl,0,Konflik Israel vs Palestina itu kompleks. Sampai sekarang masih belum ada penyelesaiian.   https://t.co/lC5sU1M5pl,Konflik Israel vs Palestina itu kompleks. Sampai sekarang masih belum ada penyelesaiian.   https://t.co/lCsUMpl,"['konflik', 'israel', 'vs', 'palestina', 'itu', 'kompleks', 'sampai', 'sekarang', 'masih', 'belum', 'penyelesaiian']",konflik israel vs palestina kompleks penyelesaiian
Giliran Konflik Myanmar kalian bersuara.  ini Palestina dijajah,2,Giliran Konflik Myanmar kalian bersuara.  ini Palestina dijajah,Giliran Konflik Myanmar kalian bersuara.  ini Palestina dijajah,"['gilir', 'konflik', 'myanmar', 'kalian', 'suara', 'ini', 'palestina', 'jajah']",gilir konflik myanmar suara palestina jajah
terus PBB tuh ngapain sih kobisa sampe ada konflik di palestina kayak gini tapi ga beres2 gw heran,2,terus PBB tuh ngapain sih kobisa sampe ada konflik di palestina kayak gini tapi ga beres2 gw heran,terus PBB tuh ngapain sih kobisa sampe ada konflik di palestina kayak gini tapi ga beres gw heran,"['terus', 'pbb', 'tuh', 'ngapain', 'sih', 'kobisa', 'sampe', 'konflik', 'di', 'palestina', 'kayak', 'gin', 'tapi', 'ga', 'beres', '2', 'gw', 'heran']",pbb tuh ngapain sih kobisa sampe konflik palestina kayak gin ga beres gw heran
Sejak pendudukan dan berdirinya negara Israel di kawasan Yerusalem sebagai wilayah Palestina dan negeri tiga agama yaitu Islam,0,Sejak pendudukan dan berdirinya negara Israel di kawasan Yerusalem sebagai wilayah Palestina dan negeri tiga agama yaitu Islam,Sejak pendudukan dan berdirinya negara Israel di kawasan Yerusalem sebagai wilayah Palestina dan negeri tiga agama yaitu Islam,"['sejak', 'duduk', 'dan', 'diri', 'negara', 'israel', 'di', 'kawasan', 'yerusalem', 'bagai', 'wilayah', 'palestina', 'dan', 'negeri', 'tiga', 'agama', 'yaitu', 'islam']",duduk diri negara israel kawasan yerusalem wilayah palestina negeri agama islam
Masih banyak orang yang berpikir bahwa konflik yang terjadi di Palestina adalah konflik agama. IT IS NOT,1,Masih banyak orang yang berpikir bahwa konflik yang terjadi di Palestina adalah konflik agama. IT IS NOT,Masih banyak orang yang berpikir bahwa konflik yang terjadi di Palestina adalah konflik agama. IT IS NOT,"['masih', 'banyak', 'orang', 'yang', 'pikir', 'bahwa', 'konflik', 'yang', 'jadi', 'di', 'palestina', 'adalah', 'konflik', 'agama', 'it', 'is', 'not']",orang pikir konflik palestina konflik agama it is not
Akan sangat mudah bagi negara2 kolonial untuk merebut Palestina apabila konflik tersebut atas nama agama. Jadi kita yg awam ini tak acuh dan hanya menganggap angin lalu saja Ã¢ÂÂAh udah dari awal konfl,2,Akan sangat mudah bagi negara2 kolonial untuk merebut Palestina apabila konflik tersebut atas nama agama. Jadi kita yg awam ini tak acuh dan hanya menganggap angin lalu saja Ã¢ÂÂAh udah dari awal konfl,Akan sangat mudah bagi negara kolonial untuk merebut Palestina apabila konflik tersebut atas nama agama. Jadi kita yg awam ini tak acuh dan hanya menganggap angin lalu saja Ã¢ÂÂAh udah dari awal konfl,"['akan', 'sangat', 'mudah', 'bagi', 'negara', '2', 'kolonial', 'untuk', 'rebut', 'palestina', 'apabila', 'konflik', 'sebut', 'atas', 'nama', 'agama', 'jadi', 'kita', 'yg', 'awam', 'ini', 'tak', 'acuh', 'dan', 'hanya', 'anggap', 'angin', 'lalu', 'saja', '', '', '', '', '', '', 'ah', 'udah', 'dari', 'awal', 'konfl']",mudah negara kolonial rebut palestina konflik nama agama yg awam acuh anggap angin ah udah konfl
